Year; Reproduction; PopSize; chh_th; bty_th; ProbaMeet
0; 0; 0; 0; 0; 0
0; 0; 0; 49; 49; 0
50; 24; 40; 49; 50; 5
100; 11; 39; 48; 50; 5
150; 19; 39; 48; 50; 0
200; 21; 39; 48; 50; 25
250; 7; 39; 48; 50; 5
300; 17; 39; 48; 50; 20
350; 23; 40; 47; 50; 15
400; 23; 40; 47; 50; 30
450; 31; 40; 47; 50; 25
500; 29; 40; 48; 50; 20
550; 23; 40; 48; 49; 10
600; 25; 39; 48; 49; 10
650; 35; 40; 48; 50; 15
700; 35; 40; 47; 50; 5
750; 19; 39; 48; 50; 5
800; 21; 40; 47; 50; 20
850; 31; 40; 48; 50; 20
900; 23; 40; 47; 50; 15
950; 25; 40; 47; 49; 15
1000; 37; 39; 47; 49; 15
1050; 29; 40; 47; 49; 15
1100; 27; 39; 47; 50; 20
1150; 33; 40; 47; 50; 20
1200; 35; 40; 47; 50; 20
1250; 33; 39; 46; 50; 15
1300; 19; 39; 46; 51; 20
1350; 25; 39; 46; 51; 20
1400; 35; 40; 46; 51; 20
1450; 37; 40; 46; 51; 15
1500; 33; 40; 46; 52; 20
1550; 29; 40; 46; 52; 15
1600; 23; 40; 46; 53; 10
1650; 27; 40; 46; 53; 15
1700; 43; 40; 46; 54; 20
1750; 29; 40; 46; 53; 20
1800; 29; 40; 46; 53; 20
1850; 49; 40; 47; 53; 20
1900; 27; 40; 47; 54; 20
1950; 21; 40; 47; 53; 20
