Year; grey; black; Reproduction; blue; chh_th
0; 0; 0; 0; 0; 0
0; 0; 0; 50; 50; 0
50; 18; 39; 50; 50; 25
100; 19; 40; 50; 50; 5
150; 19; 40; 50; 50; 10
200; 17; 39; 49; 49; 0
250; 27; 40; 49; 49; 0
300; 21; 40; 49; 49; 0
350; 33; 40; 49; 49; 0
400; 27; 39; 49; 49; 0
450; 37; 40; 50; 50; 25
500; 29; 40; 50; 50; 0
550; 25; 40; 49; 51; 0
600; 37; 40; 49; 52; 0
650; 33; 40; 49; 52; 0
700; 19; 39; 49; 52; 0
750; 25; 39; 49; 52; 0
800; 35; 40; 49; 51; 0
850; 49; 40; 50; 52; 0
900; 29; 39; 50; 53; 0
950; 45; 40; 49; 53; 10
1000; 17; 40; 49; 53; 20
1050; 39; 40; 49; 52; 20
1100; 33; 40; 49; 52; 5
1150; 45; 40; 49; 52; 20
1200; 27; 39; 49; 52; 20
1250; 25; 40; 49; 52; 20
1300; 41; 40; 49; 52; 20
1350; 23; 40; 49; 53; 20
1400; 29; 40; 49; 53; 20
1450; 29; 40; 49; 53; 20
1500; 33; 40; 49; 54; 20
1550; 27; 40; 49; 54; 20
1600; 39; 40; 49; 54; 20
1650; 37; 40; 49; 53; 20
1700; 31; 39; 49; 54; 20
1750; 41; 40; 48; 55; 20
1800; 25; 40; 49; 55; 20
1850; 29; 40; 49; 55; 20
1900; 31; 40; 50; 54; 20
1950; 35; 40; 49; 55; 20
2000; 29; 39; 49; 55; 15
2050; 45; 40; 49; 55; 20
2100; 49; 40; 49; 55; 20
2150; 45; 40; 48; 56; 20
2200; 43; 39; 48; 56; 10
2250; 31; 39; 48; 56; 0
2300; 29; 40; 47; 56; 10
2350; 41; 40; 46; 56; 20
2400; 43; 40; 47; 56; 10
2450; 39; 40; 46; 57; 0
2500; 37; 40; 45; 58; 5
2550; 47; 40; 45; 57; 5
2600; 43; 40; 46; 58; 10
2650; 31; 40; 46; 58; 0
2700; 25; 40; 45; 57; 0
2750; 56; 40; 45; 57; 0
2800; 29; 40; 45; 58; 0
2850; 37; 40; 45; 58; 5
2900; 56; 40; 44; 59; 5
2950; 56; 40; 44; 59; 35
3000; 45; 40; 44; 59; 35
3050; 52; 40; 43; 59; 35
3100; 31; 40; 43; 59; 40
3150; 31; 40; 43; 60; 35
3200; 50; 40; 42; 59; 35
3250; 52; 40; 42; 59; 40
3300; 41; 40; 42; 59; 25
3350; 43; 40; 41; 59; 20
3400; 50; 40; 41; 59; 20
3450; 47; 40; 40; 59; 20
3500; 35; 40; 41; 59; 25
3550; 45; 40; 41; 59; 25
3600; 47; 40; 42; 59; 15
3650; 31; 40; 42; 58; 20
3700; 41; 40; 42; 58; 20
3750; 58; 40; 43; 59; 20
3800; 47; 40; 43; 60; 20
3850; 52; 40; 42; 60; 20
3900; 45; 40; 41; 60; 20
3950; 47; 40; 42; 61; 20
4000; 49; 40; 41; 61; 20
4050; 37; 40; 40; 60; 20
4100; 54; 40; 40; 61; 20
4150; 62; 40; 40; 60; 20
4200; 39; 40; 40; 60; 35
4250; 50; 40; 40; 60; 20
4300; 54; 40; 40; 60; 20
4350; 47; 39; 40; 60; 20
4400; 56; 40; 41; 60; 20
4450; 39; 40; 42; 61; 20
4500; 49; 40; 42; 61; 30
4550; 35; 40; 42; 62; 20
4600; 43; 40; 41; 63; 20
4650; 39; 40; 41; 62; 20
4700; 35; 40; 41; 62; 20
4750; 39; 40; 42; 62; 20
4800; 35; 40; 42; 63; 20
4850; 49; 40; 42; 62; 20
4900; 47; 40; 42; 63; 20
4950; 60; 40; 43; 63; 30
5000; 49; 40; 42; 63; 25
5050; 37; 40; 43; 64; 20
5100; 49; 40; 43; 64; 20
5150; 41; 40; 42; 63; 25
5200; 39; 40; 42; 63; 25
5250; 47; 40; 43; 63; 25
5300; 49; 40; 43; 64; 25
5350; 33; 40; 43; 64; 25
5400; 70; 40; 43; 65; 25
5450; 43; 40; 44; 65; 25
5500; 45; 40; 44; 65; 25
5550; 62; 40; 44; 66; 25
5600; 64; 40; 44; 66; 25
5650; 56; 40; 44; 67; 25
5700; 58; 40; 43; 67; 25
5750; 47; 40; 44; 67; 25
5800; 52; 40; 43; 67; 25
5850; 49; 40; 43; 67; 25
5900; 58; 40; 43; 67; 30
5950; 39; 40; 42; 67; 30
6000; 56; 40; 42; 68; 25
6050; 52; 40; 42; 67; 30
6100; 49; 40; 43; 67; 30
6150; 47; 40; 43; 68; 25
6200; 49; 40; 43; 68; 25
6250; 37; 40; 43; 68; 25
6300; 45; 40; 43; 68; 25
6350; 41; 40; 43; 68; 25
6400; 47; 40; 43; 68; 20
6450; 43; 40; 42; 69; 20
6500; 43; 40; 42; 68; 20
6550; 47; 40; 41; 68; 25
6600; 58; 40; 42; 67; 25
6650; 35; 40; 41; 67; 25
6700; 43; 40; 41; 69; 20
6750; 45; 40; 40; 69; 20
6800; 64; 40; 40; 70; 20
6850; 43; 40; 40; 70; 20
6900; 50; 40; 40; 70; 20
6950; 49; 40; 40; 69; 20
7000; 45; 40; 41; 69; 20
7050; 49; 40; 41; 69; 20
7100; 47; 40; 40; 69; 20
7150; 49; 40; 40; 70; 20
7200; 56; 40; 40; 69; 20
7250; 62; 40; 39; 69; 20
7300; 52; 40; 39; 69; 20
7350; 56; 40; 39; 68; 20
7400; 58; 40; 39; 67; 20
7450; 41; 40; 39; 67; 20
7500; 49; 40; 39; 67; 20
7550; 58; 40; 39; 67; 20
7600; 27; 40; 38; 67; 20
7650; 52; 40; 38; 67; 20
7700; 39; 40; 38; 67; 20
7750; 47; 39; 38; 67; 20
7800; 45; 40; 38; 67; 20
7850; 62; 40; 38; 67; 20
7900; 39; 40; 38; 67; 20
7950; 47; 40; 38; 66; 20
8000; 56; 40; 38; 68; 20
8050; 54; 40; 38; 67; 20
8100; 58; 40; 38; 67; 20
8150; 35; 40; 38; 68; 20
8200; 58; 40; 38; 68; 20
8250; 58; 40; 37; 67; 20
8300; 70; 40; 37; 67; 20
8350; 41; 40; 36; 66; 20
8400; 58; 40; 36; 66; 20
8450; 74; 40; 36; 66; 20
8500; 64; 40; 35; 67; 20
8550; 66; 40; 35; 68; 20
8600; 82; 40; 34; 68; 20
8650; 56; 40; 35; 67; 20
8700; 47; 40; 35; 66; 20
8750; 62; 40; 35; 66; 20
8800; 62; 40; 35; 66; 20
8850; 58; 40; 35; 66; 20
8900; 84; 40; 35; 67; 20
8950; 39; 40; 35; 66; 20
9000; 60; 40; 35; 67; 20
9050; 60; 40; 35; 67; 45
9100; 58; 40; 35; 67; 20
9150; 60; 40; 35; 67; 30
9200; 64; 40; 35; 67; 20
9250; 60; 40; 34; 68; 25
9300; 66; 40; 34; 68; 25
9350; 52; 40; 34; 68; 25
9400; 66; 40; 34; 69; 25
9450; 78; 40; 34; 68; 25
9500; 60; 40; 34; 68; 25
9550; 33; 40; 34; 67; 25
9600; 82; 40; 34; 67; 30
9650; 74; 40; 33; 67; 30
9700; 49; 40; 34; 67; 35
9750; 43; 40; 34; 67; 30
9800; 74; 40; 34; 67; 25
9850; 62; 40; 35; 67; 25
9900; 72; 40; 33; 65; 30
9950; 58; 40; 33; 65; 30
