Year; Reproduction; PopSize; chh_th; bty_th; ProbaMeet
0; 0; 0; 0; 0; 0
0; 0; 0; 49; 50; 0
50; 22; 39; 49; 50; 0
100; 19; 39; 48; 50; 0
150; 21; 39; 48; 50; 0
200; 15; 40; 48; 51; 0
250; 23; 40; 48; 51; 5
300; 25; 39; 47; 52; 0
350; 27; 40; 47; 52; 0
400; 29; 39; 47; 52; 0
450; 19; 40; 47; 52; 5
500; 27; 40; 47; 52; 5
550; 39; 40; 47; 52; 0
600; 35; 40; 47; 52; 15
650; 21; 39; 47; 52; 10
700; 29; 40; 47; 52; 0
750; 35; 40; 48; 52; 5
800; 33; 40; 47; 52; 10
850; 31; 40; 47; 52; 0
900; 27; 40; 47; 52; 25
950; 17; 40; 47; 52; 5
1000; 39; 40; 47; 53; 15
1050; 33; 40; 47; 53; 0
1100; 21; 39; 46; 54; 5
1150; 27; 39; 46; 54; 5
1200; 21; 40; 46; 55; 10
1250; 25; 40; 47; 55; 10
1300; 21; 40; 47; 55; 5
1350; 43; 40; 46; 55; 5
1400; 29; 40; 45; 54; 5
1450; 21; 40; 45; 54; 20
1500; 58; 40; 44; 54; 15
1550; 37; 40; 44; 54; 15
1600; 39; 40; 44; 54; 20
1650; 31; 40; 43; 54; 15
1700; 33; 39; 43; 54; 5
1750; 27; 40; 43; 54; 10
1800; 31; 40; 43; 55; 10
1850; 27; 40; 43; 55; 15
1900; 47; 40; 43; 55; 20
1950; 43; 40; 43; 55; 5
2000; 47; 40; 43; 55; 5
2050; 41; 40; 43; 55; 5
2100; 27; 40; 43; 55; 5
2150; 37; 40; 42; 54; 5
2200; 39; 40; 42; 55; 0
2250; 35; 40; 42; 55; 0
2300; 41; 40; 42; 54; 5
2350; 35; 40; 41; 54; 0
2400; 43; 40; 41; 54; 0
2450; 37; 40; 41; 55; 5
2500; 25; 40; 40; 54; 0
2550; 33; 40; 40; 53; 0
2600; 41; 40; 40; 53; 15
2650; 41; 40; 40; 54; 10
2700; 45; 40; 39; 54; 15
2750; 50; 40; 39; 54; 0
2800; 31; 40; 39; 54; 0
2850; 33; 40; 39; 54; 5
2900; 37; 40; 38; 55; 10
2950; 43; 40; 38; 55; 5
3000; 29; 40; 38; 55; 5
3050; 37; 40; 38; 55; 10
3100; 29; 40; 38; 55; 10
3150; 43; 40; 37; 55; 10
3200; 52; 40; 36; 56; 30
3250; 39; 40; 35; 56; 20
3300; 29; 40; 35; 56; 20
3350; 29; 40; 35; 56; 20
3400; 35; 40; 35; 57; 10
3450; 41; 40; 34; 58; 30
3500; 39; 40; 35; 58; 15
3550; 56; 40; 35; 57; 15
3600; 39; 40; 35; 58; 20
3650; 72; 40; 36; 58; 30
3700; 35; 40; 35; 59; 25
3750; 37; 40; 36; 58; 25
3800; 45; 40; 36; 58; 15
3850; 43; 40; 36; 58; 15
3900; 41; 40; 36; 58; 5
3950; 49; 40; 35; 58; 5
4000; 47; 40; 35; 56; 5
4050; 45; 40; 35; 56; 5
4100; 50; 40; 35; 56; 10
4150; 35; 40; 34; 56; 30
4200; 49; 40; 35; 56; 15
4250; 39; 40; 34; 57; 10
4300; 49; 40; 34; 57; 10
4350; 58; 40; 34; 57; 15
4400; 33; 40; 34; 57; 15
4450; 45; 40; 34; 58; 15
4500; 49; 40; 34; 59; 15
4550; 43; 40; 34; 59; 15
4600; 31; 40; 34; 58; 15
4650; 50; 40; 34; 58; 25
4700; 39; 40; 34; 58; 15
4750; 56; 40; 33; 58; 20
4800; 50; 40; 34; 58; 20
4850; 31; 40; 34; 58; 20
4900; 52; 40; 34; 58; 15
4950; 35; 40; 33; 57; 15
5000; 23; 40; 33; 58; 15
5050; 47; 40; 33; 58; 15
5100; 47; 40; 33; 57; 15
5150; 49; 40; 33; 57; 15
5200; 56; 40; 33; 58; 15
5250; 37; 40; 33; 57; 15
